"ห้อง,นัดย้ายออกเดือน"
"H5,31.1"
"F6,5.11"
"C7,29.1"
"E3,5.11"
"A4,12.11"
"F4,19.11"
"D2,30.11"
"B9,30.11"
"E5,30.11"
"B2,25.11"
"B4,19.11"
"A5,31.12"
"C3,5.1.67"
"F1,28.12"
"D8,15.1"
"C1,"
"D4,หนีออกเดือน1"
"F10,15/16.1.67"
"B5,3.2.67"
"B7,4.2.67"
"B10,5.2.67"
"J10,5.2.67"
"G7,3.3.67"
"D7,3.3.67"
"E7,5.3.67"
"D3,4.3.67"
"H10,ไล่ออก"
"B6,สิ้นเดือน3"
"B3,สิ้นเดือน3"
"D1,กลางเดือน3"
"J2,5.3.67"
"F5,30.4.67"
"D6,30.4.67"
"E3,31.3.67"
"D10,31.3.67"
"K4,31.3.67"
"B8,30.4.67"
"B1,31.3.67"
"F3,31.3.67"
"G4,31.3.67"
"E1,31.3.67"
"C7,3.4.67"
"C2,6.4.67"
"B5,ออกแล้ว"
"H10,29.4.67"
"B4,ไล่ออก 5.5.67"
"F5,ออกแล้ว"
"D6,หลุดจอง"
"C7,28.4.67"
"C9,31.5.67"
"A8,30.5.67"
"F9,31.5.67"
"E8,31.5.67"
"J6,ไล่ออก"
"F3,31.5.67"
"D7,31.5.67"
"A3,30.6.67"
"B9,1.6.67"
"A6,30.6.67"
"I4,30.6.67"
"I8,30.6.67"
"F10,7.7.67"
"H2,30.7.67"
"F3,14.7.67"
"J7,3.8.67"
"B3,5.8.67"
"D6,31.7.67"
"J3,29.7.67"
"H7,31.8.67"
"I4,1.8.67"
"I1,25.8.67"
"F10,หนี"
"A9,28.9.67"
"A6,6.10.67"
"G6,3.11.67"
"D6,1.11.67"
"H6,3.11.67"
"F10,19.10.66"
"K1,16.11.67"
"J2,30.11.67"
"F4,2.12.67"
"B7,21.12.67"
"D5,31.1.68"
"E7,6.1.68"
"A6,31.1.68"
"C9,5.1.68"
"D6,26.12.67"
"F1,10.1.68"
"C7,25.1.67"
"D6,13.1.67"
"D1,20.1.68"
"I7,28.2.68"
"B7,2.2.68"
"K1,28.2.68"
